PLATEID	FIBERID	RA	DEC	PRIMTARGET	SECTARGET	Z	Z_ERR	Z_WARNING	V_DISP	V_DISP_ERR	SN_MEDIAN	E_BV_SFD	ZTWEAK	ZTWEAK_ERR	SIGMA_BALMER	SIGMA_BALMER_ERR	SIGMA_FORBIDDEN	SIGMA_FORBIDDEN_ERR	V_OFF_BALMER	V_OFF_BALMER_ERR	V_OFF_FORBIDDEN	V_OFF_FORBIDDEN_ERR	OII_3726_CONT	OII_3726_CONT_ERR	OII_3726_REQW	OII_3726_REQW_ERR	OII_3726_EQW	OII_3726_EQW_ERR	OII_3726_SEQW
918	152	217.052	-2.52001	96	0	0.0531634	1.3423e-05	0	192.55	5.79916	32.0677	0.0598606	0	0	1	2081.73	500	-0	-206.709	30.4962	204.488	88.6557	18.4961	3.16603	0.349117	0.646902	-1.91681	0.646902	-4.22528
516	36	181.113	1.896	96	0	0.0197187	8.93326e-06	0	291.943	4.27804	57.8861	0.0269138	0	0	500	-0	500	-0	300	-0	55.465	69.8987	76.7402	7.22314	0	-1	0	-1	0
568	624	142.745	3.80771	96	0	0.0889821	1.83757e-05	0	275.529	8.11217	28.3941	0.0432813	0	0	500	-0	196.041	28.7345	300	-0	61.0638	26.7912	16.4945	2.15347	1.32531	0.551095	-1.46187	0.551095	1.66147
518	382	183.031	2.92393	96	0	0.0754622	1.20237e-05	0	191.217	5.42205	32.5819	0.0167812	0	0	96.437	26.4182	150.399	26.2328	32.6114	22.5124	2.05002	26.7517	20.2655	1.7592	1.04798	0.367879	-1.24638	0.367879	0.0318089
272	480	155.884	0.17373	96	0	0.0956624	1.96051e-05	0	277.786	8.42231	28.495	0.045893	0	0	500	-0	1	-0	300	-0	-61.7001	17.2007	13.6127	1.83159	1.61487	0.558276	0.00403738	0.558276	0.147164
468	627	134.521	1.15374	96	0	0.0712326	1.48778e-05	0	243.425	6.45034	34.4353	0.0466745	0	0	500	0	323.754	41.8547	300	0	71.4	39.1994	16.9005	2.1509	1.29322	0.504067	-0.517388	0.504067	1.1968
506	211	160.445	1.38695	96	0	0.0720726	1.28445e-05	0	309.917	6.32451	42.6685	0.0420672	0	0	500	-0	165.939	31.2737	300	-0	43.4299	31.1614	29.1399	2.81919	0.0636049	0.32522	-1.49657	0.32522	0.0779332
847	61	192.973	4.5798	96	0	0.0644892	1.55886e-05	0	291.05	7.34877	35.2988	0.0375228	0	0	500	-0	167.813	41.0891	300	-0	64.6668	39.0377	27.1462	2.79775	1.62197	0.438138	-0.153515	0.438138	1.58879
1228	377	180.06	10.6968	96	0	0.0611843	1.29348e-05	0	207.769	5.57992	33.2589	0.0264345	0	0	169.652	20.6895	144.435	26.5981	23.1132	19.321	34.9153	25.5105	23.0956	2.37259	0.878757	0.433557	-1.37022	0.433557	0.495832
506	478	160.498	2.63031	96	0	0.0779617	1.48019e-05	0	268.063	7.02165	35.2408	0.0382896	0	0	500	-0	500	-0	300	-0	300	-0	18.9152	1.77945	1.80936	0.403427	-0.255691	0.403427	2.20166
583	629	214.964	5.0611	96	0	0.0874708	2.19263e-05	0	217.22	9.22803	21.6384	0.0296684	0	0	500	-0	53.5258	34.4608	183.865	76.2986	78.3475	23.6072	11.0154	2.31513	1.64659	0.834809	-0.592658	0.834809	0.110887
269	624	152.105	0.175919	96	0	0.0955293	2.02422e-05	0	265.315	9.17026	26.4601	0.0288279	0	0	500	-0	63.2495	55.6282	300	-0	-59.173	37.279	14.0818	2.31802	1.58831	0.587392	0.0164737	0.587392	0.722479
521	600	190.677	2.7843	96	0	0.0865387	1.33711e-05	0	295.834	6.32603	40.7979	0.0270933	0	0	500	0	479.377	87.5999	300	0	300	0	22.174	1.53089	1.51723	0.304556	-0.32071	0.304556	1.30578
590	41	228.313	2.8169	96	0	0.101113	2.37393e-05	0	218.301	10.4157	19.444	0.0400317	0	0	359.242	103.637	74.7038	40.5592	-4.29769	100.864	122.694	27.0189	8.20365	1.86699	2.00456	0.912527	0.475596	0.912527	2.25153
846	528	190.017	6.02142	96	0	0.0756128	1.67688e-05	0	239.346	7.94392	28.3658	0.024322	0	0	500	-0	423.398	67.7878	300	-0	88.4132	70.0559	12.3864	1.58121	2.56807	0.540753	0.140201	0.540753	7.84574
311	281	226.688	-1.23171	96	0	0.0711408	1.54724e-05	0	272.454	7.17772	35.8901	0.0700132	0	0	500	0	359.256	50.9626	300	0	255.243	51.1145	22.7101	2.93228	0.93166	0.482528	-0.812318	0.482528	0.451721
