AVG	ENTROPY	FLAG	MEDIAN	MODE	P16	P2P5	P84	P97P5
-0.94282	-5.95846	0	-0.88042	-0.4	-1.7449	-2.73333	-0.24	0.369231
-0.73112	-5.88128	0	-0.659441	-0.35	-1.47891	-2.53077	-0.0394735	0.440323
-0.99038	-5.90934	0	-0.931884	-0.65	-1.75849	-2.68333	-0.295833	0.266
-0.85467	-5.958	0	-0.83741	-0.7	-1.64737	-2.55714	-0.136667	0.502381
-0.0166199	-5.05587	0	-0.0239298	0	-0.442857	-0.910938	0.357692	0.685107
-1.00079	-5.88834	0	-0.945555	-0.6	-1.76692	-2.66364	-0.323711	0.236957
-0.7919	-5.87211	0	-0.736296	-0.55	-1.51507	-2.535	-0.122941	0.460417
-0.85943	-5.93759	0	-0.795323	-0.35	-1.65377	-2.65312	-0.149145	0.390385
0.69209	-3.93277	0	0.648432	0.6	0.487027	0.345968	0.842337	1.1075
-0.89131	-5.86232	0	-0.836014	-0.45	-1.64348	-2.55	-0.214414	0.305358
-0.75783	-5.87032	0	-0.70039	-0.4	-1.50746	-2.45833	-0.0921296	0.47069
-0.64156	-5.90911	0	-0.596831	-0.45	-1.40254	-2.32	0.0530121	0.628
-1.19237	-5.89044	0	-1.14064	-1.1	-1.93873	-2.89375	-0.517582	0.0605268
-0.67019	-5.88468	0	-0.592308	-0.25	-1.43731	-2.48333	0.0191489	0.502174
-0.87324	-5.88683	0	-0.82	-0.45	-1.64286	-2.55	-0.205288	0.416217
-0.22228	-4.96757	0	-0.236	-0.2	-0.627597	-1.01406	0.132298	0.455883
-0.98868	-5.85679	0	-0.923358	-0.55	-1.72551	-2.68333	-0.322897	0.188889
-0.55016	-5.84146	0	-0.485036	-0.4	-1.32788	-2.16136	0.116822	0.643549
-0.59576	-5.95181	0	-0.535906	-0.45	-1.39084	-2.3675	0.12421	0.734211
-1.11745	-5.82821	0	-1.05669	-0.75	-1.82817	-2.85	-0.475	0.0640003
-0.29257	-5.76951	0	-0.210904	-0.0999999	-0.963559	-2.05	0.318981	0.85
-1.08121	-5.85246	0	-1.03741	-0.95	-1.81121	-2.71731	-0.421	0.152174
-0.95005	-5.91344	0	-0.91903	-0.75	-1.71742	-2.58929	-0.263684	0.37
-1.16858	-5.93754	0	-1.08473	-1.05	-1.95422	-3.04688	-0.459794	0.0950001
-0.57143	-5.91055	0	-0.505862	-0.4	-1.34595	-2.35357	0.118067	0.6725
-1.16355	-5.82871	0	-1.10692	-1	-1.89722	-2.84615	-0.501042	-0.00892831
-0.17759	-5.05456	0	-0.196875	-0.0999999	-0.605319	-1.00769	0.189307	0.580769
-0.7848	-5.87673	0	-0.739677	-0.5	-1.54808	-2.45	-0.111927	0.448001
-1.08087	-5.83307	0	-1.03363	-1	-1.80435	-2.69286	-0.429911	0.11
-1.3701	-5.81343	0	-1.33602	-1.3	-2.10059	-2.93261	-0.724299	-0.164583
-0.77795	-5.91407	0	-0.732231	-0.5	-1.53955	-2.4825	-0.0726086	0.453847
-0.28453	-5.07974	0	-0.303958	-0.35	-0.704135	-1.15806	0.0947058	0.476786
-0.98857	-5.80385	0	-0.905517	-0.55	-1.71	-2.64524	-0.359615	0.146429
-0.11125	-5.92787	0	0.0118645	0.3	-0.930303	-2.03158	0.583929	1.10577
-0.95378	-5.94782	0	-0.94966	-0.75	-1.72	-2.57353	-0.265957	0.584783
-0.93024	-5.9893	0	-0.896191	-0.4	-1.76066	-2.67222	-0.183854	0.414584
-1.07205	-5.98472	0	-1.06532	-1.1	-1.84286	-2.74615	-0.342857	0.384091
-0.47026	-5.71236	0	-0.399153	-0.25	-1.11066	-2.20909	0.118702	0.605769
-0.60795	-5.89672	0	-0.536792	-0.35	-1.37465	-2.3375	0.0616162	0.656819
-0.81219	-5.88011	0	-0.734797	-0.45	-1.58176	-2.5825	-0.122881	0.378125
-0.80222	-5.86463	0	-0.758042	-0.65	-1.53882	-2.46842	-0.128241	0.432813
-0.87406	-5.84855	0	-0.803543	-0.55	-1.625	-2.60357	-0.1975	0.275715
-1.003	-5.9047	0	-0.961397	-1	-1.75522	-2.75278	-0.296759	0.260257
-1.06916	-5.84769	0	-0.986274	-0.75	-1.83194	-2.79375	-0.395417	0.082927
-0.79646	-5.86355	0	-0.738214	-0.65	-1.54853	-2.45455	-0.11875	0.404167
0.0387401	-4.84559	0	0.0204779	0.0500002	-0.335882	-0.691667	0.374074	0.666667
-0.99814	-5.89626	0	-0.944244	-0.8	-1.76692	-2.73235	-0.297265	0.225715
-1.24879	-5.9899	0	-1.20657	-1.3	-2.07589	-3.02222	-0.50625	0.102
-0.45964	-5.81449	0	-0.410366	-0.25	-1.1377	-2.15937	0.175	0.736
0.0951001	-4.87421	0	0.0811847	0.0999999	-0.286905	-0.6575	0.431216	0.724445
-0.77519	-5.81226	0	-0.712829	-0.5	-1.51181	-2.42143	-0.126191	0.368421
-0.92851	-5.91295	0	-0.917347	-0.65	-1.67027	-2.56071	-0.237634	0.488462
-0.81873	-5.87982	0	-0.741241	-0.5	-1.60154	-2.57857	-0.141379	0.384
-0.72781	-5.83277	0	-0.664052	-0.5	-1.44	-2.45278	-0.0685343	0.435001
-0.81327	-5.84716	0	-0.753067	-0.75	-1.54589	-2.51579	-0.145896	0.360938
-0.77576	-5.95971	0	-0.735887	-0.45	-1.57976	-2.51562	-0.0460225	0.522917
-1.16882	-5.86514	0	-1.1088	-0.8	-1.89638	-2.91176	-0.5	0.0468754
-0.94251	-5.98939	0	-0.9364	-1	-1.75676	-2.61905	-0.204819	0.527273
-0.6695	-6.02491	0	-0.686522	-0.55	-1.46818	-2.35667	0.0913332	0.888
-0.72105	-5.94869	0	-0.668248	-0.45	-1.51026	-2.45333	-0.0106195	0.6
-0.33446	-5.33777	0	-0.381034	-0.6	-0.842675	-1.26136	0.120472	0.675
