PLATEID	FIBERID	RA	DEC	PRIMTARGET	SECTARGET	Z	Z_ERR	Z_WARNING	V_DISP	V_DISP_ERR	SN_MEDIAN	E_BV_SFD	ZTWEAK	ZTWEAK_ERR
540	636	228.446	2.09804	96	0	0.039013	1.04082e-05	0	211.934	4.19791	40.3632	0.0469726	0	0
1190	116	133.82	4.46781	96	0	0.0724435	1.34308e-05	0	225.845	6.06115	32.8142	0.0537784	0	0
843	481	183.271	5.68968	96	0	0.0829713	1.56575e-05	0	230.097	7.01222	28.297	0.015785	0	0
276	440	162.495	0.322309	96	0	0.0389986	1.07851e-05	0	279.101	4.7702	49.0234	0.0414259	0	0
269	460	150.845	0.84048	96	0	0.098249	2.29754e-05	0	237.378	9.14293	21.6547	0.0236921	0	0
1185	430	125.745	4.2991	96	0	0.0969421	2.03627e-05	0	292.659	9.36197	26.7351	0.0278625	0	0
295	411	198.213	1.0018	96	0	0.0742565	1.26218e-05	0	202.855	5.39103	33.6114	0.0436483	0	0
468	547	134.293	1.41382	96	0	0.0691559	1.38834e-05	0	217.763	5.905	34.524	0.0401902	0	0
343	27	240.306	-0.586521	96	0	0.0564475	1.73252e-05	0	130.658	7.68529	21.4146	0.173423	0	0
269	399	150.776	0.454107	96	0	0.0451042	1.25699e-05	0	266.547	6.16039	37.6793	0.026025	0	0
1184	494	123.882	3.84448	96	0	0.0863852	1.78694e-05	0	211.342	6.93846	25.3408	0.0219353	0	0
1220	160	165.326	9.28667	96	0	0.0361988	1.12765e-05	0	126.242	4.47752	31.4037	0.0259762	0	0
516	268	179.896	1.86709	96	0	0.0775461	2.10099e-05	0	180.473	9.56995	20.6701	0.0231225	0	0
585	421	216.909	4.46033	96	0	0.0560398	1.28453e-05	0	180.832	5.41148	30.7746	0.0300738	0	0
311	398	227.443	0.592805	96	0	0.0887401	2.40284e-05	0	231.879	9.51068	21.3543	0.0525186	0	0
274	253	159.374	-0.677922	96	0	0.0955654	1.35852e-05	0	317.258	6.20951	41.8171	0.0641618	0	0
587	517	221.375	3.92404	96	0	0.0648392	1.00346e-05	0	300.685	4.56219	53.6162	0.0329206	0	0
1195	141	141.325	7.06533	96	0	0.0802746	2.18378e-05	0	259.529	8.31888	25.1044	0.0530607	0	0
1002	187	164.38	6.66045	96	0	0.070238	1.61654e-05	0	210.025	6.36036	29.0379	0.031075	0	0
473	208	139.741	1.14893	96	0	0.0877838	1.28178e-05	0	223.467	5.47785	36.1375	0.0233779	0	0
1004	436	166.814	7.71954	64	0	0.0743194	1.40349e-05	0	193.886	6.2053	29.1056	0.0340376	0	0
854	640	207.321	5.08716	96	0	0.0785366	1.61099e-05	0	213.292	7.43122	29.6221	0.0265806	0	0
591	379	228.796	3.84853	6752	0	0.0783369	1.64079e-05	0	312.849	8.64808	34.2375	0.0426846	0	0
540	517	227.882	1.76388	6240	0	0.039652	1.30329e-05	0	186.198	5.29592	31.8773	0.0500219	0	0
1185	468	125.84	4.37247	6752	0	0.0310627	1.18643e-05	0	222.555	5.23214	37.7391	0.0275824	0	0
518	476	183.464	2.8016	64	0	0.0747004	1.64581e-05	0	146.025	7.69157	22.144	0.0216145	0	0
520	425	187.676	3.1639	96	0	0.0816204	8.99089e-06	0	231.998	4.05189	51.7357	0.0257035	0	0
590	414	227.467	4.40773	96	0	0.0776495	1.99657e-05	0	216.061	8.61876	23.6131	0.0397488	0	0
1834	83	230.344	4.34172	96	0	0.0521574	1.36005e-05	0	279.98	6.04023	38.2071	0.0490464	0	0
918	486	216.925	-1.75573	96	0	0.0538373	1.18708e-05	0	233.256	5.32426	39.6303	0.0475872	0	0
1220	428	164.865	9.83571	96	0	0.064112	2.14514e-05	0	202.136	9.19476	20.4761	0.0292895	0	0
1195	212	140.231	6.83681	64	0	0.0792807	1.90514e-05	0	194.768	7.86614	22.9195	0.0415134	0	0
845	506	188.436	5.53938	96	0	0.0808458	1.28896e-05	0	226.658	5.46427	35.2079	0.0232773	0	0
346	585	245.367	0.603254	96	0	0.0855426	1.69069e-05	0	191.459	7.20529	26.5015	0.0822949	0	0
308	22	223.067	-0.293633	96	0	0.0433819	1.01266e-05	0	191.141	4.60827	40.7354	0.0532576	0	0
581	240	166.545	4.33609	96	0	0.0215332	6.7824e-06	0	183.493	2.59603	64.2951	0.0692801	0	0
593	368	232.458	3.51087	96	0	0.036872	1.2412e-05	0	274.482	6.10344	42.7255	0.0529159	0	0
337	461	192.937	-1.85874	96	0	0.0818256	2.05014e-05	0	270.918	9.99234	25.5184	0.0224134	0	0
339	291	195.281	-3.44796	96	0	0.0833665	1.69228e-05	0	251.624	7.09306	30.5654	0.0306469	0	0
1834	254	229.756	4.52078	96	0	0.0365049	1.19698e-05	0	285.037	5.14491	45.5593	0.0430607	0	0
1220	225	164.995	8.95598	96	0	0.0616739	1.54959e-05	0	233.919	6.31393	31.2182	0.0292906	0	0
839	438	175.554	5.25171	96	0	0.0963036	2.14203e-05	0	254.17	8.89689	24.8364	0.0231832	0	0
287	8	184.205	-0.741765	96	0	0.0708048	1.23318e-05	0	255.85	5.26421	43.5198	0.0227046	0	0
564	162	131.382	2.47587	96	0	0.0765279	1.31604e-05	0	251.054	6.04933	40.5145	0.0435401	0	0
328	169	175.437	-2.74132	96	0	0.0546039	9.5662e-06	0	195.414	3.96883	48.7778	0.0211646	0	0
430	358	27.285	13.9632	96	0	0.0705528	1.56107e-05	0	256.289	6.93794	31.2255	0.0555105	0	0
649	127	358.557	-10.419	96	0	0.0776255	1.56513e-05	0	303.116	7.46243	36.1833	0.0431929	0	0
716	486	329.373	-7.79574	96	0	0.0579538	1.49493e-05	0	271.877	6.66027	35.9031	0.0375412	0	0
423	337	18.2481	15.4913	64	0	0.0438491	1.56473e-05	0	203.41	6.70799	28.7952	0.0882169	0	0
739	96	340.383	12.5806	96	0	0.0997881	2.06866e-05	0	273.37	8.35466	27.1356	0.0441066	0	0
656	390	10.4603	-9.30315	4704	0	0.0553588	1.56951e-05	0	322.268	13.4795	24.2904	0.0377021	0	0
403	363	29.0707	1.05081	96	0	0.0789361	1.82338e-05	0	260.152	8.0285	28.5014	0.0293447	0	0
398	389	18.74	0.430804	96	0	0.044819	1.12633e-05	0	252.954	5.15721	39.1214	0.0276681	0	0
388	377	1.20396	0.951182	96	0	0.0999087	2.84918e-05	0	216.982	10.6904	18.1588	0.0323011	0	0
658	313	13.9662	-9.98561	96	0	0.0547345	1.56246e-05	0	305.589	6.99441	37.1612	0.0371756	0	0
648	299	355.237	-10.7414	96	0	0.0867969	1.81095e-05	0	249.241	7.89448	27.7051	0.0319429	0	0
730	27	322.692	10.6243	96	0	0.0617617	1.35817e-05	0	246.166	6.08745	38.6472	0.0539357	0	0
692	55	14.0672	-1.25538	6240	0	0.0445091	1.33679e-05	0	261.251	5.56767	36.2013	0.0386543	0	0
391	282	5.90828	-0.784168	96	0	0.0635513	1.70106e-05	0	220.175	7.61771	27.3552	0.0295013	0	0
1502	184	23.7238	-0.664984	96	0	0.0840913	1.36344e-05	0	269.66	5.98712	41.7219	0.0331858	0	0
701	129	30.572	-1.12785	6752	0	0.0425467	1.2607e-05	0	253.696	5.57126	38.6205	0.027251	0	0
391	111	7.36845	-0.212608	96	0	0.059865	1.74872e-05	0	249.596	8.27645	27.7173	0.0229212	0	0
687	160	4.17731	-0.445445	96	0	0.0644766	1.40678e-05	0	279.102	6.24878	38.4933	0.0284826	0	0
376	473	337.291	0.0789018	6752	0	0.0568443	1.46855e-05	0	239.26	7.24908	30.5408	0.0687549	0	0
721	503	337.93	-8.40881	96	0	0.0828948	1.03189e-05	0	301.337	4.84203	53.1059	0.0549255	0	0
693	269	14.4377	-0.419423	96	0	0.043839	1.28413e-05	0	292.796	6.25632	40.2648	0.0473694	0	0
716	417	329.195	-6.94733	96	0	0.0647552	1.52252e-05	0	261.009	6.67059	33.4463	0.0328768	0	0
725	301	345.096	-9.88328	96	0	0.0798105	2.56668e-05	0	147.69	10.8583	16.9241	0.0393589	0	0
378	396	340.837	0.473353	96	0	0.0579081	1.21301e-05	0	206.196	5.40008	35.1675	0.0705635	0	0
650	359	358.89	-9.65473	96	0	0.0772677	1.46655e-05	0	214.496	6.95161	29.9653	0.0344187	0	0
400	424	22.8872	0.555972	96	0	0.0792413	1.52938e-05	0	251.676	6.90411	32.4209	0.0233815	0	0
638	297	316.395	-7.59215	96	0	0.0731063	1.54707e-05	0	162.684	6.46156	27.7644	0.0840711	0	0
749	528	358.529	15.9699	96	0	0.0752207	1.44889e-05	0	274.605	6.57728	36.8723	0.0391608	0	0
429	121	26.9223	12.9696	64	0	0.0735692	1.29683e-05	0	210.751	5.06485	39.6	0.0602896	0	0
375	62	336.785	-0.727203	96	0	0.0567804	2.04565e-05	0	205.443	7.58349	23.7442	0.0695403	0	0
664	155	26.6518	-9.69588	96	0	0.0521033	1.46936e-05	0	199.746	6.03152	32.3855	0.0287058	0	0
720	599	336.542	-8.74304	96	0	0.0833742	1.92902e-05	0	178.721	7.60168	22.7933	0.0441456	0	0
377	48	339.979	-0.988612	96	0	0.0530678	1.69482e-05	0	183.66	6.65042	24.6492	0.0507238	0	0
