MEDIAN	P16	P84	P2P5	P97P5	MODE	AVG
11.2335	11.1388	11.3243	11.0708	11.4157	11.2733	11.246
11.2142	11.1216	11.2951	11.0433	11.3665	11.2733	11.2219
11.3494	11.2624	11.4267	11.196	11.4997	11.39	11.3589
11.4043	11.3097	11.4858	11.2327	11.5743	11.4367	11.4138
11.1179	11.0252	11.212	10.9476	11.3034	11.11	11.131
11.0571	10.9675	11.1451	10.8936	11.225	11.0633	11.0686
11.4457	11.352	11.538	11.2745	11.6225	11.46	11.4577
11.5283	11.4338	11.6193	11.3578	11.7141	11.53	11.5395
10.6631	10.5695	10.7523	10.4871	10.8396	10.7133	10.6737
11.24	11.1458	11.3211	11.076	11.4058	11.2733	11.2493
11.5273	11.4459	11.6104	11.3766	11.7083	11.53	11.5416
11.2862	11.1927	11.3746	11.1176	11.4686	11.3433	11.2974
11.2175	11.1173	11.3125	11.0408	11.4227	11.2733	11.2297
11.1112	11.0196	11.1959	10.9459	11.2715	11.11	11.1207
10.8972	10.7991	11.0031	10.7192	11.1235	10.9	10.9143
10.9898	10.8977	11.0812	10.819	11.1809	11.0167	11.0027
11.2729	11.1811	11.3526	11.1129	11.4242	11.2967	11.2813
11.4807	11.3925	11.5671	11.3187	11.644	11.5067	11.4918
10.8135	10.7198	10.9011	10.6411	10.9923	10.8533	10.824
11.0334	10.9409	11.1248	10.8579	11.2162	11.0633	11.0451
11.0692	10.9714	11.1655	10.8862	11.2571	11.0867	11.0807
11.076	10.9771	11.1746	10.8941	11.2691	11.0867	11.0885
11.7209	11.6316	11.7998	11.557	11.8785	11.7633	11.7302
11.6642	11.5706	11.7547	11.4934	11.8762	11.67	11.6785
11.3738	11.2812	11.4544	11.2104	11.5361	11.4133	11.3826
-1	-1	-1	-1	-1	-1	-1
11.4927	11.3995	11.5758	11.3277	11.6648	11.53	11.5029
-1	-1	-1	-1	-1	-1	-1
11.4799	11.3891	11.561	11.3134	11.6426	11.53	11.4893
11.2099	11.1182	11.2984	11.0478	11.3838	11.2033	11.2218
11.1943	11.1033	11.2816	11.0311	11.3723	11.18	11.2069
10.8441	10.7484	10.9412	10.677	11.0417	10.8767	10.858
11.382	11.2926	11.4709	11.2125	11.5522	11.39	11.3938
11.4151	11.3236	11.4978	11.2558	11.5726	11.4367	11.4251
11.1005	11.0089	11.1895	10.9361	11.2875	11.11	11.1134
10.8138	10.7255	10.8988	10.6485	10.9785	10.8067	10.825
10.8781	10.7844	10.9616	10.7183	11.0413	10.9	10.888
11.5255	11.4369	11.6134	11.3603	11.7135	11.53	11.5384
11.2345	11.1424	11.3187	11.0733	11.4045	11.25	11.2454
11.0062	10.9139	11.0899	10.8439	11.1738	11.04	11.0166
11.1487	11.0564	11.2362	10.9852	11.3183	11.18	11.1597
11.3556	11.2561	11.456	11.1791	11.5805	11.3433	11.3706
11.4053	11.3054	11.5027	11.226	11.641	11.4367	11.4207
11.1527	11.0573	11.2362	10.9919	11.3198	11.18	11.1626
11.8067	11.7131	11.879	11.632	11.967	11.8333	11.8138
11.2034	11.1079	11.3101	11.0317	11.4357	11.2033	11.2216
11.6454	11.5548	11.729	11.4767	11.8027	11.6467	11.6545
11.6952	11.6115	11.7739	11.5429	11.8497	11.7167	11.7061
11.3845	11.2857	11.4735	11.2074	11.5722	11.4367	11.3946
11.1883	11.096	11.2804	11.0216	11.3801	11.18	11.2019
11.2278	11.1203	11.3526	11.0496	11.4685	11.1333	11.2435
11.2414	11.148	11.3384	11.0677	11.4432	11.25	11.2559
12.0289	11.9144	12.1541	11.8033	12.2681	12.02	12.0509
11.5488	11.4605	11.629	11.3883	11.6954	11.5767	11.5577
11.3716	11.2808	11.4568	11.2099	11.532	11.39	11.3821
11.4387	11.3439	11.5323	11.2729	11.636	11.4367	11.4524
11.6513	11.561	11.7275	11.4849	11.7992	11.6933	11.6587
11.2829	11.1963	11.3718	11.123	11.4585	11.2967	11.2962
11.3808	11.2902	11.4552	11.214	11.5216	11.4367	11.3873
11.3381	11.2407	11.42	11.1627	11.508	11.39	11.3452
11.4259	11.3369	11.4994	11.2652	11.5712	11.46	11.4335
11.2697	11.1717	11.3663	11.0939	11.5051	11.2967	11.286
11.3558	11.2633	11.45	11.187	11.557	11.3433	11.3706
11.6238	11.5299	11.706	11.4559	11.7851	11.67	11.6322
11.4655	11.3756	11.5523	11.3034	11.633	11.4833	11.4769
11.2254	11.1292	11.3008	11.0486	11.3746	11.2733	11.2302
11.4386	11.3433	11.5052	11.2631	11.5741	11.46	11.4413
11.4648	11.3718	11.5441	11.2973	11.6114	11.4833	11.4721
11.305	11.2183	11.3917	11.1502	11.4994	11.32	11.3196
11.2415	11.1485	11.3305	11.0738	11.4257	11.2267	11.2541
10.9506	10.8404	11.0698	10.7542	11.1818	10.9467	10.9674
11.4291	11.3371	11.5128	11.2608	11.5972	11.4833	11.439
10.9629	10.8708	11.0502	10.7978	11.1418	11.0167	10.9745
11.4874	11.4015	11.5608	11.3249	11.6371	11.5533	11.496
11.6129	11.5101	11.6962	11.4268	11.7922	11.6467	11.6201
11.6179	11.5189	11.7136	11.4516	11.8225	11.6467	11.6312
11.2065	11.1152	11.2933	11.0444	11.3892	11.25	11.2186
11.4474	11.3527	11.5428	11.2792	11.6433	11.4367	11.4612
11.0154	10.9172	11.1135	10.839	11.2083	11.04	11.0284
11.4501	11.3751	11.5357	11.3122	11.6278	11.4367	11.4672
11.583	11.4943	11.6601	11.4213	11.7359	11.6233	11.5918
11.4732	11.3817	11.5539	11.3082	11.6229	11.4833	11.4818
11.5329	11.4429	11.6219	11.3708	11.7163	11.5067	11.5468
11.5621	11.478	11.6399	11.4091	11.7204	11.5767	11.573
10.7526	10.6625	10.8348	10.5863	10.912	10.8067	10.7618
11.3556	11.2608	11.4489	11.1773	11.5362	11.3667	11.3672
10.954	10.8604	11.0426	10.7908	11.1438	10.9933	10.9667
10.9822	10.8897	11.0719	10.8223	11.1591	11.0167	10.9944
11.3643	11.2748	11.4439	11.2031	11.5196	11.4133	11.3736
11.7937	11.7019	11.8687	11.6261	11.9368	11.8333	11.8002
11.3175	11.22	11.4045	11.1536	11.5017	11.3433	11.3283
11.1983	11.1747	11.2645	11.0211	11.4855	11.2033	11.2213
11.0108	10.9184	11.0937	10.832	11.1725	11.04	11.0191
11.5151	11.4225	11.6016	11.3483	11.6936	11.5767	11.5261
11.363	11.2648	11.4485	11.1868	11.5423	11.4133	11.3717
11.6773	11.5919	11.8022	11.5097	11.9593	11.67	11.7054
11.445	11.3557	11.5285	11.2825	11.603	11.46	11.4553
11.4345	11.3454	11.5226	11.2659	11.6107	11.46	11.4458
11.2083	11.1193	11.2965	11.0469	11.3825	11.2267	11.2209
11.303	11.2141	11.3787	11.1384	11.4597	11.32	11.3117
11.1633	11.0769	11.2493	10.974	11.3707	11.18	11.1759
11.1697	11.0727	11.256	10.9959	11.3526	11.2033	11.179
11.3603	11.2722	11.4437	11.2041	11.5227	11.4133	11.3716
