MEDIAN	P16	P84	P2P5	P97P5	MODE	AVG
10.5019	10.4134	10.5809	10.345	10.659	10.5267	10.5118
10.0777	9.98665	10.1588	9.90759	10.2352	10.13	10.0866
10.7311	10.6357	10.822	10.5619	10.9207	10.7833	10.7425
9.91328	9.82244	9.99953	9.7463	10.0772	9.94333	9.92373
10.5672	10.479	10.6551	10.4046	10.7342	10.5733	10.5789
10.3655	10.2772	10.4404	10.2016	10.5236	10.3867	10.3743
10.5193	10.4277	10.6093	10.3549	10.7004	10.55	10.5316
10.5144	10.4243	10.5989	10.3496	10.6853	10.5733	10.5254
10.6268	10.5163	10.7389	10.4349	10.8868	10.6433	10.6433
10.517	10.4237	10.6025	10.3551	10.685	10.55	10.5273
-1	-1	-1	-1	-1	-1	-1
10.3543	10.2587	10.4509	10.1903	10.5606	10.3867	10.3688
-1	-1	-1	-1	-1	-1	-1
10.3719	10.2799	10.4463	10.2017	10.5191	10.41	10.3783
10.3554	10.2621	10.4412	10.1851	10.5348	10.41	10.3664
10.6574	10.5679	10.7327	10.4959	10.8033	10.69	10.6652
10.3627	10.2733	10.4507	10.2026	10.5346	10.3867	10.3749
10.8839	10.8028	10.958	10.7338	11.0289	10.9	10.8934
10.5	10.415	10.5762	10.3461	10.6577	10.5267	10.5104
10.5603	10.4728	10.6379	10.4046	10.7214	10.5733	10.5705
10.17	10.078	10.2583	10.0032	10.3503	10.2	10.1819
10.4041	10.3103	10.4968	10.2325	10.5945	10.4333	10.4166
10.4479	10.3533	10.5346	10.2841	10.6207	10.48	10.4588
10.6556	10.5644	10.7415	10.4886	10.8262	10.7133	10.6666
10.4484	10.364	10.5272	10.2914	10.6053	10.48	10.4586
10.6352	10.5545	10.7151	10.4835	10.8034	10.6433	10.6479
10.4044	10.3131	10.4972	10.2409	10.593	10.4333	10.4181
10.3048	10.2165	10.3882	10.1484	10.483	10.34	10.3176
10.3199	10.2245	10.4123	10.1465	10.5185	10.3633	10.332
10.3705	10.2798	10.457	10.2032	10.5435	10.3633	10.382
10.2079	10.1176	10.2854	10.0414	10.361	10.2467	10.2163
9.56464	9.48275	9.66479	9.41146	9.74434	9.57	9.58188
10.5998	10.5095	10.6822	10.4345	10.7569	10.5967	10.6093
10.7468	10.6676	10.8184	10.5989	10.8901	10.7367	10.7568
10.6003	10.5176	10.682	10.4473	10.7775	10.62	10.6133
10.4146	10.3327	10.4969	10.2643	10.5839	10.4333	10.4278
10.6292	10.5484	10.7094	10.4822	10.7894	10.62	10.6418
-1	-1	-1	-1	-1	-1	-1
10.6766	10.5849	10.7615	10.5089	10.8497	10.7367	10.6871
10.5674	10.4739	10.6539	10.405	10.7361	10.5967	10.5783
10.5964	10.5039	10.6846	10.4355	10.7691	10.62	10.6079
10.2522	10.1608	10.3346	10.0849	10.4151	10.3167	10.2616
10.722	10.6414	10.7989	10.5746	10.8726	10.7367	10.7332
10.6064	10.5053	10.7073	10.4268	10.8434	10.6433	10.6213
10.4983	10.4018	10.592	10.32	10.6898	10.5267	10.5102
10.5161	10.4273	10.5993	10.35	10.675	10.5267	10.5264
10.5726	10.4782	10.6589	10.3998	10.7446	10.62	10.5821
10.6311	10.5303	10.733	10.4498	10.8691	10.62	10.6465
10.0991	10.0049	10.1887	9.92395	10.286	10.13	10.1102
10.2897	10.1956	10.3764	10.1304	10.4676	10.3167	10.3013
10.6835	10.6029	10.7665	10.535	10.8679	10.69	10.6985
10.5542	10.4604	10.6561	10.3812	10.7882	10.55	10.5721
10.5518	10.4564	10.6408	10.3776	10.7581	10.5733	10.5643
10.4572	10.3678	10.5399	10.2929	10.6154	10.4567	10.4669
10.2905	10.1916	10.3953	10.1091	10.5171	10.3167	10.3065
10.4972	10.4049	10.5846	10.3288	10.6765	10.55	10.5084
10.6006	10.5087	10.6858	10.4389	10.7627	10.62	10.611
10.4137	10.324	10.5016	10.249	10.5859	10.41	10.4255
9.88303	9.79051	9.96493	9.72307	10.0482	9.89667	9.89319
10.3948	10.3017	10.4836	10.2244	10.5719	10.4333	10.4058
10.1932	10.0996	10.2759	10.0265	10.3604	10.2233	10.2027
10.3753	10.2846	10.4622	10.206	10.5457	10.3633	10.3865
10.8074	10.7143	10.9008	10.6404	11.0324	10.8067	10.8238
10.6468	10.5549	10.7336	10.481	10.8236	10.6433	10.6585
10.5805	10.4874	10.6624	10.4184	10.7418	10.5967	10.5898
-1	-1	-1	-1	-1	-1	-1
10.6757	10.5819	10.7584	10.5129	10.8462	10.7133	10.6859
-1	-1	-1	-1	-1	-1	-1
10.4651	10.3844	10.5458	10.3167	10.6402	10.4567	10.4787
10.306	10.2199	10.384	10.1528	10.4579	10.34	10.3156
10.6169	10.5314	10.6992	10.4638	10.7826	10.5967	10.6291
10.2994	10.2073	10.3915	10.1302	10.4792	10.3167	10.3121
10.6502	10.5597	10.7358	10.4849	10.8264	10.69	10.6624
10.5228	10.4276	10.6196	10.3584	10.7301	10.55	10.5375
10.3876	10.2877	10.4845	10.2186	10.5981	10.4333	10.4015
10.3338	10.2412	10.4185	10.1609	10.5093	10.3633	10.3444
10.371	10.2838	10.4531	10.2095	10.5229	10.3867	10.3812
10.5172	10.4244	10.6047	10.3483	10.7085	10.55	10.5295
10.5967	10.5061	10.6814	10.4328	10.767	10.62	10.6074
10.2902	10.1992	10.3778	10.1292	10.4567	10.3167	10.3013
10.5564	10.4661	10.6422	10.3928	10.7224	10.5733	10.5674
10.6981	10.619	10.7813	10.5505	10.8544	10.7133	10.7112
10.647	10.5657	10.7284	10.4979	10.8104	10.6667	10.6599
10.4618	10.3691	10.5447	10.3013	10.6195	10.5033	10.4717
10.8964	10.8143	10.9697	10.7455	11.0423	10.9	10.9062
10.4486	10.3529	10.5392	10.2762	10.6401	10.48	10.4607
10.4885	10.398	10.5635	10.3213	10.635	10.5267	10.4956
10.5427	10.4598	10.6219	10.3901	10.7041	10.55	10.554
10.5888	10.4997	10.6747	10.4244	10.7581	10.5967	10.6003
10.5644	10.4466	10.7095	10.3509	10.852	10.5733	10.588
10.5523	10.4609	10.637	10.3834	10.7217	10.5967	10.5629
10.1559	10.064	10.243	9.98777	10.3325	10.1767	10.1671
10.6643	10.5673	10.7597	10.4818	10.8737	10.69	10.6776
10.742	10.6501	10.83	10.5835	10.9203	10.76	10.7545
10.5771	10.4889	10.6603	10.4141	10.7321	10.5967	10.5871
10.5288	10.439	10.6062	10.3645	10.6774	10.5733	10.5368
10.5799	10.5028	10.6514	10.4347	10.7208	10.62	10.5902
10.5804	10.4884	10.6658	10.4134	10.7563	10.62	10.5909
10.4391	10.3472	10.5237	10.2726	10.6059	10.4567	10.4491
10.6486	10.5561	10.7312	10.4798	10.8255	10.69	10.6592
10.5301	10.4446	10.613	10.374	10.7192	10.55	10.5433
10.4419	10.3492	10.5242	10.2739	10.6139	10.48	10.4523
10.3061	10.219	10.3859	10.1543	10.4697	10.34	10.3176
10.8591	10.7686	10.9336	10.6939	11.001	10.9	10.8658
10.4425	10.3542	10.5274	10.2766	10.6059	10.4567	10.4536
10.4932	10.4017	10.5732	10.3255	10.6521	10.5267	10.5019
10.4383	10.3454	10.5215	10.2691	10.609	10.48	10.4477
10.3617	10.274	10.4436	10.1999	10.5128	10.3633	10.3715
10.697	10.6123	10.7804	10.5417	10.8688	10.7367	10.7093
10.6196	10.5266	10.7092	10.4498	10.811	10.6667	10.6326
10.5018	10.4036	10.5974	10.3186	10.6904	10.5267	10.5132
10.679	10.5856	10.7596	10.5076	10.8481	10.7133	10.6886
10.2804	10.1866	10.3665	10.1184	10.4573	10.3167	10.2919
10.6348	10.544	10.713	10.4698	10.8015	10.6667	10.6448
10.62	10.5281	10.7041	10.4579	10.8059	10.6667	10.632
10.348	10.2538	10.4433	10.1857	10.5458	10.3633	10.3625
10.3386	10.25	10.4287	10.1779	10.5258	10.34	10.3523
10.5697	10.481	10.6501	10.4046	10.7205	10.5733	10.5784
10.5799	10.4817	10.6809	10.3957	10.7774	10.5967	10.5932
10.7765	10.6987	10.8641	10.6354	10.9468	10.7833	10.7926
10.2668	10.178	10.354	10.1058	10.4351	10.27	10.2788
10.5587	10.4677	10.6405	10.391	10.7132	10.62	10.5676
10.6101	10.5275	10.696	10.4579	10.7832	10.62	10.6236
10.5806	10.5054	10.661	10.4408	10.7612	10.5967	10.5957
10.2269	10.1325	10.3034	10.0627	10.3754	10.2467	10.2336
10.6909	10.597	10.7805	10.5174	10.8698	10.7367	10.7013
10.1587	10.0658	10.2412	9.99738	10.3153	10.2	10.1678
10.2261	10.1369	10.3139	10.0636	10.4008	10.2467	10.2384
10.398	10.3251	10.4731	10.2583	10.5482	10.4333	10.411
10.8411	10.7511	10.9173	10.6803	10.9946	10.8767	10.85
10.3963	10.3084	10.4738	10.2313	10.5375	10.41	10.4042
10.6304	10.5502	10.7018	10.4383	10.8617	10.6433	10.6376
10.6588	10.5613	10.7577	10.4782	10.8639	10.62	10.672
10.7744	10.6888	10.852	10.6235	10.929	10.8067	10.7853
10.5859	10.5012	10.6654	10.431	10.7675	10.5967	10.5981
10.7447	10.6551	10.829	10.5837	10.921	10.7367	10.7573
10.4806	10.3934	10.5642	10.3192	10.6373	10.48	10.4914
10.6495	10.5557	10.7488	10.4831	10.8314	10.6433	10.6641
10.5897	10.4997	10.6816	10.4246	10.7738	10.5967	10.603
10.2758	10.1858	10.3587	10.1094	10.4792	10.2933	10.2884
10.3617	10.2613	10.4458	10.179	10.5462	10.3867	10.37
10.083	9.99617	10.1613	9.92657	10.2393	10.1067	10.0932
10.4471	10.3677	10.5281	10.3003	10.6127	10.4567	10.4605
10.2479	10.1583	10.3329	10.0844	10.415	10.2933	10.2585
10.415	10.3189	10.5024	10.2439	10.6042	10.4567	10.4264
10.5524	10.4547	10.6398	10.3884	10.735	10.5967	10.5635
10.4588	10.3755	10.5496	10.3052	10.6425	10.48	10.474
10.8055	10.7158	10.8866	10.642	10.9605	10.8067	10.8146
10.7684	10.6731	10.8451	10.5989	10.9224	10.8067	10.7746
10.3745	10.2855	10.4521	10.2131	10.5288	10.41	10.3839
10.6937	10.6177	10.7701	10.5527	10.851	10.69	10.7068
10.4809	10.398	10.5565	10.3272	10.6313	10.5267	10.4907
10.479	10.3904	10.5664	10.3174	10.6458	10.48	10.4906
10.3077	10.2228	10.3915	10.1485	10.4624	10.3167	10.3188
10.4421	10.3475	10.5259	10.2753	10.6024	10.4567	10.4513
10.6254	10.5598	10.7007	10.5034	10.7718	10.62	10.6408
10.6065	10.5173	10.692	10.4426	10.7726	10.62	10.6178
